,state,city,station,station_code,pollutant_min,pollutant_max,pollutant_avg
state,228059.13751507827,91276.97949336552,84511.73100120647,347599.6013268997,-88681.40952955362,40677.469843184575,-48298.37515078407
city,91276.97949336552,16803140.889022913,883424.838359469,-24926.304583835936,-693743.5398069964,-1604670.4867310007,-1153379.7949336555
station,84511.73100120647,883424.838359469,59313528.93848009,181386.32810615207,329760.00723763567,1184778.9975874543,754092.689987937
station_code,347599.6013268997,-24926.304583835936,181386.32810615207,703312.6667671896,-222640.2886007237,-48556.90379975876,-184501.01326899874
pollutant_min,-88681.40952955362,-693743.5398069964,329760.00723763567,-222640.2886007237,10202072.572677923,18678670.809107352,14205160.095295537
pollutant_max,40677.469843184575,-1604670.4867310007,1184778.9975874543,-48556.90379975876,18678670.809107352,53160026.06363087,34066918.30156815
pollutant_avg,-48298.37515078407,-1153379.7949336555,754092.689987937,-184501.01326899874,14205160.095295537,34066918.30156815,24129721.751507834
