,state,city,station,station_code,pollutant_min,pollutant_max,pollutant_avg
state,32.19270076829843,93.1544578781217,-10.00741542943056,58.15335175019554,-1308.8087051049572,-5911.023052110103,-3960.375850762761
city,93.1544578781217,997.2646601907129,50.671471579685736,231.3529799549123,25248.902577081775,55164.52145806448,33991.1662572308
station,-10.007415429430567,50.67147157968568,1113.711276732122,98.23085849697978,4843.181308587317,-6598.882477670407,694.4052286094483
station_code,58.15335175019555,231.35297995491229,98.2308584969798,139.5113846990156,-75.51437366617878,-7995.239377035802,-5230.769700217408
pollutant_min,-1308.8087051049572,25248.90257708177,4843.181308587319,-75.51437366617921,4345887.744187926,11080486.871856181,7301454.300777459
pollutant_max,-5911.023052110103,55164.52145806449,-6598.882477670408,-7995.239377035801,11080486.871856181,28906637.226753324,19000926.68268347
pollutant_avg,-3960.37585076276,33991.1662572308,694.4052286094465,-5230.769700217411,7301454.300777459,19000926.68268347,12543916.183664232
