,z1,z2,z3,z4,z5,z6
state,0.000143962488185962,4.370208351172727e-06,-2.096912244676719e-05,4.0591384817506065e-05,1.548941086070276e-05,-2.333726908720495e-06
city,-1.1724034329119622e-05,-5.116324550824925e-07,6.581942531993108e-07,1.6459243862658926e-07,-1.1614558607558894e-06,-7.839848211730574e-07
station,2.1947586038662932e-06,-3.679495670669973e-07,4.6840822325438973e-07,-2.1688507621152367e-07,1.3841257095840405e-07,-1.833412378786411e-07
station_code,-9.175557538026454e-05,-1.9205510619934325e-05,3.934096423451531e-05,-1.4652520855400508e-05,-1.4625121746453732e-05,3.3831270245987545e-06
pollutant_min,-6.675367133601465e-05,-0.0002275698694107675,3.233627956411408e-05,4.511733701457182e-08,3.6064240533940607e-07,-3.1847433683873295e-08
pollutant_max,-9.384527113181995e-05,-9.51977449233852e-05,-4.766562943578779e-05,-6.178120536188836e-08,-3.745471687238773e-08,2.075399112635349e-08
pollutant_avg,2.4400993936939762e-05,0.00027828278158803445,5.356283789182013e-05,7.359977188605378e-08,-1.5123429439076724e-07,-1.0090807541452175e-08
