id,pollutant_id,Prediction_LDA,Prediction_Bayes
2412,PM2.5,PM10,PM10
2413,PM2.5,PM10,PM10
2414,NH3,NH3,SO2
2418,OZONE,NH3,SO2
2420,PM2.5,PM10,PM10
2422,PM2.5,NH3,SO2
2427,OZONE,NH3,SO2
2431,NO2,CO,CO
2434,NO2,OZONE,OZONE
2435,NH3,NH3,SO2
2437,NH3,SO2,NO2
2438,CO,NO2,NO2
2442,NH3,NH3,SO2
2447,CO,OZONE,OZONE
2450,NH3,NH3,SO2
2451,NO2,PM10,PM10
2453,OZONE,OZONE,CO
2455,CO,PM2.5,PM2.5
2456,OZONE,NO2,NO2
2458,PM10,PM2.5,PM2.5
2464,NH3,SO2,SO2
2465,OZONE,NO2,NO2
2467,CO,NO2,NO2
2468,PM2.5,PM10,PM10
2469,NO2,OZONE,OZONE
2470,NH3,SO2,SO2
2474,NO2,PM10,PM10
2475,CO,PM2.5,PM2.5
2476,OZONE,NH3,SO2
2477,NH3,NH3,SO2
2478,OZONE,NH3,SO2
2479,PM10,CO,CO
2480,CO,OZONE,OZONE
2482,NO2,NH3,SO2
2483,PM2.5,PM10,PM10
2485,PM2.5,OZONE,NO2
2486,PM10,NO2,NO2
2487,NO2,SO2,SO2
2489,SO2,PM10,PM10
2490,PM10,SO2,SO2
2491,NO2,SO2,SO2
2493,NH3,SO2,SO2
2494,CO,SO2,SO2
2495,NH3,NH3,SO2
2497,OZONE,NH3,SO2
2498,PM10,OZONE,PM2.5
2499,NO2,PM10,PM10
2500,CO,NO2,NO2
2501,NO2,NH3,SO2
2502,NH3,NH3,SO2
2504,NH3,NH3,SO2
2505,CO,SO2,SO2
2506,CO,SO2,SO2
2507,PM10,SO2,NO2
2508,CO,SO2,NO2
2510,OZONE,SO2,SO2
2512,PM10,OZONE,OZONE
2513,CO,NH3,SO2
2516,CO,NO2,NO2
2517,OZONE,NH3,SO2
2518,CO,NO2,NO2
2519,CO,NH3,SO2
2522,NH3,NH3,SO2
2523,SO2,NO2,NO2
2524,NO2,NH3,SO2
2525,NH3,NH3,SO2
2526,NH3,NH3,SO2
2528,CO,OZONE,OZONE
2529,NO2,CO,CO
2532,SO2,NO2,NO2
2533,PM2.5,CO,CO
2539,OZONE,SO2,NO2
2540,PM2.5,PM10,PM10
2545,OZONE,SO2,SO2
2548,PM2.5,PM10,PM10
2549,PM10,CO,PM2.5
2550,SO2,NO2,NO2
2552,OZONE,SO2,SO2
2553,NH3,NH3,SO2
2557,NO2,OZONE,OZONE
2558,PM2.5,NH3,SO2
2560,NO2,CO,CO
2563,CO,SO2,NO2
2566,NO2,SO2,SO2
2567,CO,CO,NO2
2571,NO2,PM10,PM10
2572,NH3,NH3,SO2
2574,PM2.5,PM10,PM10
2576,NH3,NH3,SO2
2578,NH3,SO2,SO2
2580,OZONE,SO2,SO2
2581,NH3,SO2,SO2
2582,OZONE,SO2,SO2
2583,NH3,SO2,SO2
2585,PM10,OZONE,OZONE
2586,NO2,NH3,SO2
2587,PM2.5,PM10,PM10
2589,PM2.5,SO2,SO2
2590,OZONE,SO2,SO2
2591,CO,OZONE,OZONE
2593,PM10,CO,CO
2599,PM10,NH3,SO2
2600,NO2,NH3,SO2
2601,PM10,PM2.5,PM2.5
2602,NH3,NH3,SO2
2604,PM10,PM2.5,PM2.5
2606,NH3,SO2,SO2
2608,CO,CO,NO2
2610,NO2,SO2,SO2
2612,PM10,CO,CO
2613,NO2,OZONE,OZONE
2614,CO,OZONE,OZONE
2616,NO2,SO2,SO2
2617,OZONE,NO2,NO2
2618,NH3,NH3,SO2
2619,NO2,NH3,SO2
2620,CO,NO2,NO2
2621,NH3,NH3,SO2
2623,PM10,PM2.5,PM2.5
2624,PM10,CO,CO
2625,NO2,CO,CO
2627,PM2.5,CO,NO2
2628,NH3,SO2,NO2
2629,SO2,SO2,NO2
2630,CO,NO2,NO2
2631,SO2,NO2,NO2
2632,CO,OZONE,OZONE
2634,PM10,PM2.5,PM2.5
2635,OZONE,NO2,NO2
2637,PM2.5,NO2,NO2
2638,CO,NO2,NO2
2639,NO2,NH3,SO2
2641,NH3,NH3,SO2
2642,OZONE,NO2,NO2
2643,PM2.5,PM10,PM10
2644,PM10,OZONE,OZONE
2645,CO,OZONE,OZONE
2646,NH3,NH3,SO2
2647,NO2,NH3,SO2
2648,CO,OZONE,OZONE
2650,OZONE,NH3,SO2
2651,PM2.5,PM10,PM10
2652,SO2,NO2,NO2
2653,NH3,NH3,SO2
2656,NH3,NH3,SO2
2657,NH3,NH3,SO2
2659,OZONE,NO2,NO2
2661,SO2,SO2,NO2
2662,SO2,OZONE,OZONE
2665,CO,CO,NO2
2666,PM2.5,SO2,SO2
2667,NO2,SO2,SO2
2670,CO,OZONE,OZONE
2673,SO2,SO2,NO2
2676,SO2,SO2,NO2
2678,OZONE,NO2,NO2
2679,NH3,NH3,SO2
2681,NH3,SO2,SO2
2682,OZONE,SO2,SO2
2684,OZONE,NO2,NO2
2687,NO2,SO2,SO2
2688,CO,OZONE,OZONE
2689,PM2.5,PM10,PM10
2691,CO,CO,NO2
2692,OZONE,SO2,SO2
2693,SO2,NO2,NO2
2695,NH3,NH3,SO2
2696,NH3,NH3,SO2
2697,SO2,NH3,NO2
2698,NH3,NH3,SO2
2700,OZONE,NH3,SO2
2702,NH3,NH3,SO2
2703,CO,NO2,NO2
2706,PM10,SO2,SO2
2707,CO,NO2,NO2
2708,OZONE,SO2,SO2
2713,OZONE,NH3,NO2
2715,OZONE,NH3,SO2
2717,NH3,NH3,SO2
2718,OZONE,NO2,NO2
2719,CO,CO,NO2
2724,NH3,NH3,SO2
