,SO2,NH3,CO,OZONE,PM10,PM2.5,NO2,accuracy
SO2,331.0,0.0,12.0,12.0,4.0,0.0,114.0,69.97885835095137
NH3,397.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
CO,49.0,0.0,119.0,101.0,26.0,6.0,178.0,24.843423799582464
OZONE,129.0,0.0,8.0,217.0,4.0,4.0,107.0,46.26865671641791
PM10,39.0,0.0,61.0,15.0,227.0,103.0,39.0,46.900826446280995
PM2.5,39.0,0.0,25.0,15.0,136.0,229.0,44.0,46.92622950819672
NO2,195.0,0.0,59.0,41.0,28.0,7.0,157.0,32.238193018480494
