id,z1,z2,z3,z4,z5,z6
0,0.00025470704969469005,-6.860155346346617e-05,8.687250595268523e-05,-2.0238818174374254e-06,1.0258339307586459e-05,-2.997354556712275e-05
1,-0.003729513043412263,-0.0013967735963601917,-0.0005329049269795453,1.1314515325244544e-05,-6.896280170190809e-05,-7.864631920660615e-05
2,-0.002384712704632041,-0.0003932924717999068,0.00036629309871606344,-2.710674318349904e-05,-0.0002219101837651322,-0.0002681024998134721
3,-0.009384579478952625,-0.0024131720700152825,0.0011395644526810047,-2.5798985530310358e-05,-0.0002170699096108994,-0.00026853221234882834
4,-0.006318594792870908,0.0023565861500014543,0.00010814170570083545,-2.7289483137214347e-05,-0.0002257594123131276,-0.00026770431728235833
5,-0.02414431523674664,-0.0024171449161365967,-0.006141332790664888,-3.708668153888867e-05,-0.0002381005004918774,-0.0002660016982636453
6,-0.00881701610233018,-0.00192695635888869,0.001595674929760857,-2.7154648332765652e-05,-0.000214991962937879,-0.00027040134710252974
7,-0.009794309690254107,-0.0007345469462419732,0.000573488582864854,3.858187741985125e-05,-0.00027650098145586927,-0.00022618415640537483
8,-0.005922354469978241,-0.0012654737685211803,0.0011707086285990995,3.9241671704455376e-05,-0.00027412522570800796,-0.0002266108942309826
9,-0.011770689526907479,-0.0015446124042949642,0.0016548387852259256,-3.364177593216617e-06,-0.0002448689381098345,-0.00026339095238127173
10,-0.008465992462032638,0.006091143234293702,-0.000488856126157995,-6.358199091887835e-06,-0.0002602733169825052,-0.00026177217278968703
11,-0.034160998065194556,-0.0013800624085318933,-0.0012403093830712962,4.281099142318847e-05,-0.00028662970639847395,-0.00022181034954696683
12,-0.03305921300045953,0.013500216263264156,-0.0018462008278052025,-0.00045550481302168494,-0.0006367129496300818,1.2649490340408295e-05
13,-0.005746270351461544,-0.001275366501118538,0.0019933282071698567,-0.00045142629847228784,-0.000608555819240092,9.081204515066749e-06
14,-0.005509366020977361,-0.0005443028252338084,0.00117915242476235,-0.0004525377128603259,-0.0006119165330943612,9.564996287802029e-06
15,-0.023489726972910616,-0.006764023807435107,-0.002429844855342864,-0.00045474418619376194,-0.0005043914797309701,0.0001107710629217399
16,-0.010246665758232952,-0.0018739882367619215,0.0023824380895252828,-0.0004408524858844733,-0.000504478571163695,0.00011118832908902095
17,-0.0048770991143812946,-0.0010309203156028401,0.00181519675849148,-0.0004900029755729074,-0.0007095705798222156,-0.00013084549678576477
18,-0.009797765144608981,-0.002319275977835907,0.0023144315655017826,-0.0004891431425072603,-0.0007064552385181453,-0.00013111467746802367
19,-0.005753046898305749,-0.0008359422151510232,0.0016371336582479128,-0.0004245982233075782,-0.000756850948999735,-8.009831482908376e-05
20,-0.004408018150796139,0.0003130411343235165,-0.0003906683845393722,4.8210197553468715e-05,-1.2133335921063092e-05,-4.7222421272372946e-05
21,-0.02681050935424875,-0.001532028875640606,0.0003677074385100953,3.351150039390144e-05,2.132010048140572e-06,-6.223383495206276e-05
22,-0.00640283733510492,0.0001870611466616174,-0.001896378788030253,6.107962229865487e-05,-2.9123771767712928e-05,-3.665771417100321e-05
23,-0.002122138878791833,-0.00044090081651191573,0.0005640044120537928,5.626854332940345e-05,-3.6026906138784304e-05,-6.232670166291424e-05
24,-0.00799237855074273,0.0017827045338571984,0.0009674619417803257,8.02677774953788e-05,-5.282896899610232e-05,-4.3669021646286094e-05
25,-0.0015533233998772874,-0.00046461474664244743,0.0005608789939812443,4.205481156982973e-05,-2.8170895376302476e-05,-7.520025685859091e-05
26,-0.0006245650210115402,-0.0002250921355821142,0.00026296864921211395,8.091858482763971e-05,-6.363112516620672e-05,-5.02481052068956e-05
27,-0.009941001469048276,-0.002631162834477042,0.0013155859287074263,9.069131000000952e-05,-0.00011024181069124512,-8.553536514184436e-05
28,-0.004811526673581908,-0.0016304669589540925,0.001368389554962141,6.53496550476568e-05,-9.547877806465944e-05,-0.00010681738705161449
29,-0.0076190838796525665,-0.002696147531913955,0.0003786176360394807,2.779373752555595e-05,-7.44658519383684e-05,-0.00013687358703070747
30,-0.006742616993153966,0.002988575611328448,-0.001163458304113395,2.5698842950776133e-05,-8.573458070101923e-05,-0.000135669116126675
31,-0.048626180513422074,-0.01310452059504038,-0.005899005251862291,6.404227233551043e-05,-0.00011690801390412182,-0.00010442896993201204
32,-0.003985784799014446,-0.0006012134428628681,0.0008973411914886072,5.675483330049799e-05,-0.0001377409755989477,-0.00015187358199885055
33,-0.025718294026177986,-0.0075336482867653575,-0.005841070879698809,2.789426123674554e-05,-0.00014272530094816975,-0.00017019507515295395
34,-0.005889087789008174,-0.0002876593820923979,0.00020462469420110622,3.539580850081431e-05,-0.00013264194192546958,-0.000173301067472853
35,-0.01753958894234832,-0.0034142884488086644,0.0022531639211696686,9.618013965819857e-05,-0.00018944907938093329,-0.00015266480991887657
36,-0.0043699417058421265,-0.00085599519956129,0.0005499725548815159,9.337440646770816e-05,-0.00019791178636927557,-0.00015180825063614147
37,-0.008637037742416349,-0.002511797405897522,0.0001996483287481181,9.305191374617227e-05,-0.0001970250248518953,-0.00015165761864717448
38,-0.0018791266559979591,-0.00018977393909731325,0.000255660524570612,0.00010745154998280855,-0.00021303256653568072,-0.00014307028469272789
39,-0.01115499993872389,-0.0015525428473925427,-0.0029646499860646017,0.0001034217693607173,-0.00022127221342837033,-0.00014126705314957007
40,-0.008668995158423017,0.0026279591993262083,-4.96346149527712e-05,0.00010731490554305505,-0.0002170463204017427,-0.00014259109928266108
41,-0.0437144684094047,-0.005195148661811843,-0.009248122586280322,4.805535027640834e-05,-0.00020574619175649407,-0.000178006581824025
42,-0.008455055046133768,-0.00010381334638856076,-0.0005617466855316541,5.8540407439071324e-05,-0.00018534289639823953,-0.000182956003353616
43,-0.010347932500966111,0.00020621254782001342,-0.0017162347670756546,9.977336530674753e-05,-0.0002266934906805419,-0.00015552652736305217
44,-0.017055888144517577,-0.0013791423777616183,-0.0036304008116438617,9.741915297158303e-05,-0.00023068404553461955,-0.00015448668823515177
45,-0.0334565968364406,0.01036624356198476,-0.0002634359797179824,9.204504598700726e-05,-0.00022658620459363622,-0.0001641643807454416
46,-0.048436181348671274,-0.006983770055067861,-0.010342272685288392,7.881174757077185e-05,-0.00023776989301376082,-0.00015967162270577901
47,-0.019966469832544905,-0.008818298400178948,-0.005326182475414506,5.451927672935003e-05,-0.0002018709608730992,-0.00018826038287852556
48,-0.006164229496272082,-0.002935240257357029,-0.0013858203861835294,5.93819321405606e-05,-0.00019663792367485798,-0.00019022061482002937
49,-0.014736438091583481,-0.0006839501223006353,0.0024767007259806776,5.040806599749664e-05,-0.00017789994226685154,-0.00020425202576507788
50,-0.021134581359815045,0.008810486160746757,0.004397696200982534,4.701858137120864e-05,-0.00017865979838627377,-0.0002098252258387198
51,-0.0055279533499374795,0.00011762424689945833,-0.00032452866815783893,3.994535602827888e-05,-0.00018372397420108393,-0.00020816295985365868
52,-0.03804872652141186,0.0216313761447282,-0.002243062107671835,0.00010150686059256214,-0.0002667330926343529,-0.0001641965156953596
53,-0.002299811355491239,-0.0003544702476481259,0.0002782295470157128,0.00010342446802578209,-0.00023462870010135977,-0.00016770265040231188
54,-0.0024288565827508884,0.00014991439463300131,0.00040482844041168594,5.609679415251717e-05,-0.0002155822750401681,-0.00021693539589924838
55,-0.002416293441859094,-0.00022109907203649433,0.00029587498277270285,0.00011182953317991552,-0.0002675908900064264,-0.0001846023419741446
56,-0.013415006166369852,-0.0030341935303593616,-0.002460421158840378,0.00010848779973590804,-0.0002727058880538683,-0.00018311758867558566
57,-0.008357157739995656,0.0004653754615832411,-0.001262720401741627,0.00010994327394806096,-0.0002730810356697234,-0.00018361109373099017
58,-0.009366677235610526,0.0015357262425936243,-0.0016197719077281432,0.00010950330080216776,-0.000275385326577351,-0.00018332747864064361
59,-0.05120947898779726,-0.013524754225984443,0.00914182489754077,-2.3211980392574143e-06,-4.847778907200868e-05,-0.00010365099302311171
60,-0.042677020880103174,-0.007021122500917743,-0.001717900133202872,-1.737215817925995e-05,-8.971817036430672e-05,-9.751733732608012e-05
61,-0.010697851983923694,0.009454409617443314,0.0009607747648464095,-1.485777783859802e-05,-0.00010082750664703294,-9.839512668587403e-05
62,-0.005388639271147242,0.0003837876470000163,-0.0004418469658242921,-1.7024737974937407e-05,-9.495980830630309e-05,-9.835975318422778e-05
63,-0.00423301826133228,-0.0008915141193532687,0.000638021152778418,0.0001327632896142938,-7.62342793238818e-05,-2.6606366205670208e-05
64,-0.0017333931494541623,-0.00024056702193010066,0.0004951870772190784,0.0001324770715097897,-7.746947000090064e-05,-2.6529422693121722e-05
