,Discrimination_power,Discrimination_power(%),Discrimination_power_cumulative(%),alpha,p_value
z1,691.8330345977281,91.91653418919765,91.91653418919765,0.5564342097783688,1.1102230246251565e-16
z2,50.55330063038938,6.716482089456489,98.63301627865413,0.083968147965399,1.1102230246251565e-16
z3,10.177715068038692,1.3522052984406052,99.98522157709473,0.01812020451408833,3.4859670705600365e-11
z4,0.06469084712043718,0.008594788285198414,99.99381636537994,0.00011728605582253963,0.9989443642788954
z5,0.03731634764254535,0.004957828222088874,99.99877419360202,6.765879032385231e-05,0.9997845875641133
z6,0.009226341785215576,0.0012258063979773645,100.0,1.672926098882299e-05,0.9999965321319845
