,discrimination_power,p_value
state,0.07786042341695402,1.0
city,0.032733410235685836,1.0
station,0.010355534617245869,1.0
station_code,0.10941903579873628,1.0
pollutant_min,409.26937265701685,0.0
pollutant_max,657.3106355477406,0.0
pollutant_avg,597.1073599311597,0.0
