,SO2,NH3,CO,OZONE,PM10,PM2.5,NO2,accuracy
SO2,181.0,202.0,16.0,14.0,4.0,0.0,56.0,38.266384778012686
NH3,121.0,291.0,0.0,0.0,0.0,0.0,24.0,66.74311926605505
CO,50.0,31.0,131.0,117.0,26.0,5.0,119.0,27.34864300626305
OZONE,78.0,83.0,12.0,226.0,4.0,4.0,62.0,48.18763326226013
PM10,23.0,26.0,67.0,17.0,227.0,100.0,24.0,46.900826446280995
PM2.5,23.0,27.0,33.0,18.0,136.0,229.0,22.0,46.92622950819672
NO2,109.0,133.0,65.0,51.0,27.0,7.0,95.0,19.50718685831622
