,LDA,Bayes
SO2,-3.2767813453262944,-5.224200473089547
NH3,-3.212529094303541,-5.241401367209692
CO,-3.421628022994742,-5.356441941839012
OZONE,-3.347023330390747,-5.302935078199653
PM10,-5.172814955233199,-7.097244564771753
PM2.5,-5.672818119880568,-7.589017230282606
NO2,-3.3311969292801606,-5.249447322452756
