,z1,z2,z3,z4,z5,z6
SO2,-23.993182393619758,-41.72514525249346,153.79671608101586,5952.87552802956,-13411.727012611223,-16419.443922650447
NH3,-13.646183905250195,-31.60832512700353,180.1463835968364,5916.961923400216,-13329.97233742366,-16220.472626360654
CO,-61.11463224582093,-18.46949160835629,112.48406488850388,5837.445327939992,-13243.961918086618,-16386.155933164307
OZONE,-44.67584916608749,71.14143219390334,16.568510491530244,5911.916217828614,-13376.912804840827,-16310.7955759426
PM10,-150.39656038788002,-110.26645969788385,59.93927022012752,5914.273704559923,-13363.640371213087,-16306.845557458322
PM2.5,-170.2073140029974,54.57590521634686,185.6663271310769,5881.200191534481,-13377.884311601183,-16330.963836349569
NO2,-45.32797222634865,-40.068627335737105,116.357257285961,5769.053011256323,-13433.356185695171,-16320.91654867266
