,pollutant_min,pollutant_max,pollutant_avg
3,0.034953603908598696,-0.3684100781493875,-0.26574964141175395
6,0.07101089137505175,-0.4236957648554276,-0.2540268482052226
8,-0.2535046958230257,-0.6843282878981882,-0.5353738851619754
18,-0.19941876462334612,-0.5342671382675078,-0.44159153950972446
24,-0.07321825849076045,-0.28943052571218725,-0.11335332972684616
29,-0.1092755459572135,-0.3526141676619474,-0.3478091938574735
39,-0.6501348579540093,-0.03669595791314664,-0.4298687463031931
44,-0.3977338456888379,0.44507931195377454,-0.043016570487657946
49,0.629898847105074,0.04228359452405355,0.3321128121213458
50,1.1347008716354168,0.5951404615844549,1.2816590618503867
61,-0.19941876462334612,0.0659774602552136,0.3321128121213458
84,0.5036983409724883,0.37399771476029436,1.0003120248936337
91,0.6839847783047536,0.07387541549893363,0.25005325967562625
94,-0.43379113315529094,0.223936565129614,0.09765694799071847
97,1.080614940435737,0.0659774602552136,0.3790039849474713
118,0.8642712156370188,0.11336519171753373,0.3438356053278772
126,-0.2535046958230257,0.0659774602552136,-0.03129377728112658
128,-0.4878770643549705,-0.11567551035034683,-0.2774724346182853
146,-0.6681635016872358,0.5082629539035347,0.5900142626650359
149,-0.0011036835578543526,-0.5579610039986679,-0.3595319870640049
155,-0.5960489267543296,-0.028798002669426625,-0.16024450255297162
157,0.6118702033718475,-0.0603898236443067,0.25005325967562625
162,-0.14533283342366654,0.23183452037333402,0.09765694799071847
180,-0.037160971024307404,0.010691773549173472,-0.007848190868063844
196,1.2248440903015492,0.026487684036613512,0.5079547102193164
204,0.01692496017537217,-0.32102234668706736,-0.171967295759503
210,-0.3256192707559318,-0.573756914486108,-0.5002055055423813
217,-0.469848420621744,-0.6843282878981882,-0.6057106444011636
222,-0.037160971024307404,-0.07618573413174674,-0.08990774331378341
224,-0.6681635016872358,0.3582018042728543,-0.06646215690072069
226,0.6479274908383006,-0.05249186840058668,0.16799370722990667
230,0.1070681788415048,-0.44738963058658765,-0.21885846858562846
237,-0.1813901208901196,-0.3447162124182274,-0.3829775734770676
241,0.1791827537744109,-0.40789985436798754,-0.19541288217256572
244,-0.3977338456888379,-0.32102234668706736,-0.2071356753790971
255,-0.07321825849076045,-0.33681825717450736,-0.2540268482052226
