,C1,C2,C3
pollutant_min,0.8795771039987541,0.9979454897559591,1.000301659125189
pollutant_max,0.9129492505351112,0.993676554967257,1.0003016591251872
pollutant_avg,0.9821557136218804,0.9848237268295134,1.0003016591251883
