,C1,C2,C3
pollutant_min,0.9378577205518724,0.344047069101315,-0.04854038905107582
pollutant_max,0.9554837782689517,-0.2841255082391334,-0.08139474281506287
pollutant_avg,0.9910376953586985,-0.051652814130819284,0.12441033837939244
